Setup ok
{.time=3909, .id=0x350, .len=1, .data={0x80}},
{.time=3927, .id=0x350, .len=1, .data={0x80}},
{.time=3947, .id=0x350, .len=1, .data={0x80}},
{.time=3969, .id=0x350, .len=1, .data={0x80}},
{.time=3987, .id=0x350, .len=1, .data={0x80}},
{.time=4007, .id=0x350, .len=1, .data={0x80}},
{.time=4027, .id=0x350, .len=1, .data={0x80}},
{.time=4046, .id=0x350, .len=1, .data={0x80}},
{.time=4067, .id=0x350, .len=1, .data={0x80}},
{.time=4086, .id=0x350, .len=1, .data={0x80}},
{.time=4109, .id=0x350, .len=1, .data={0x80}},
{.time=4126, .id=0x350, .len=1, .data={0x80}},
{.time=4147, .id=0x350, .len=1, .data={0x80}},
{.time=4166, .id=0x350, .len=1, .data={0x80}},
{.time=4187, .id=0x350, .len=1, .data={0x80}},
{.time=4208, .id=0x350, .len=1, .data={0x80}},
{.time=4227, .id=0x350, .len=1, .data={0x80}},
{.time=4247, .id=0x350, .len=1, .data={0x80}},
{.time=4267, .id=0x350, .len=1, .data={0x80}},
{.time=4287, .id=0x350, .len=1, .data={0x80}},
{.time=4308, .id=0x350, .len=1, .data={0x80}},
{.time=4328, .id=0x350, .len=1, .data={0x80}},
{.time=4346, .id=0x350, .len=1, .data={0x80}},
{.time=4367, .id=0x350, .len=1, .data={0x80}},
{.time=4386, .id=0x350, .len=1, .data={0x80}},
{.time=4411, .id=0x350, .len=1, .data={0x80}},
{.time=4426, .id=0x350, .len=1, .data={0x80}},
{.time=4447, .id=0x350, .len=1, .data={0x80}},
{.time=4467, .id=0x350, .len=1, .data={0x80}},
{.time=4487, .id=0x350, .len=1, .data={0x80}},
{.time=4518, .id=0x350, .len=1, .data={0x80}},
{.time=4527, .id=0x350, .len=1, .data={0x80}},
{.time=4548, .id=0x350, .len=1, .data={0x80}},
{.time=4567, .id=0x350, .len=1, .data={0x80}},
{.time=4587, .id=0x350, .len=1, .data={0x80}},
{.time=4608, .id=0x350, .len=1, .data={0x80}},
{.time=4627, .id=0x350, .len=1, .data={0x80}},
{.time=4646, .id=0x350, .len=1, .data={0x80}},
{.time=4667, .id=0x350, .len=1, .data={0x80}},
{.time=4686, .id=0x350, .len=1, .data={0x80}},
{.time=4694, .id=0x10, .len=1, .data={0x10}},
{.time=4711, .id=0x350, .len=1, .data={0x80}},
{.time=4714, .id=0x7C8, .len=8, .data={0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x40}},
{.time=4717, .id=0x10, .len=1, .data={0x10}},
{.time=4721, .id=0x7C8, .len=8, .data={0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x40}},
{.time=4733, .id=0x10, .len=1, .data={0x10}},
{.time=4748, .id=0x350, .len=1, .data={0x80}},
{.time=4754, .id=0x10, .len=1, .data={0x10}},
{.time=4769, .id=0x350, .len=1, .data={0x80}},
{.time=4773, .id=0x10, .len=1, .data={0x30}},
{.time=4787, .id=0x350, .len=1, .data={0x80}},
{.time=4790, .id=0x7CA, .len=8, .data={0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x40}},
{.time=4794, .id=0x10, .len=1, .data={0x30}},
{.time=4800, .id=0x7CA, .len=8, .data={0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x40}},
{.time=4807, .id=0x350, .len=1, .data={0x80}},
{.time=4812, .id=0x7CA, .len=8, .data={0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x40}},
{.time=4814, .id=0x10, .len=1, .data={0x30}},
{.time=4827, .id=0x350, .len=1, .data={0x80}},
{.time=4834, .id=0x10, .len=1, .data={0x30}},
{.time=4846, .id=0x350, .len=1, .data={0x80}},
{.time=4853, .id=0x10, .len=1, .data={0xB0}},
{.time=4867, .id=0x350, .len=1, .data={0x80}},
{.time=4874, .id=0x10, .len=1, .data={0xB0}},
{.time=4886, .id=0x350, .len=1, .data={0x80}},
