Setup ok
{.time=3736, .id=0x350, .len=1, .data={0x40}},
{.time=3755, .id=0x350, .len=1, .data={0x40}},
{.time=3774, .id=0x350, .len=1, .data={0x40}},
{.time=3794, .id=0x350, .len=1, .data={0x40}},
{.time=3815, .id=0x350, .len=1, .data={0x40}},
{.time=3837, .id=0x350, .len=1, .data={0x40}},
{.time=3854, .id=0x350, .len=1, .data={0x40}},
{.time=3874, .id=0x350, .len=1, .data={0x40}},
{.time=3895, .id=0x350, .len=1, .data={0x40}},
{.time=3915, .id=0x350, .len=1, .data={0x40}},
{.time=3936, .id=0x350, .len=1, .data={0x40}},
{.time=3956, .id=0x350, .len=1, .data={0x40}},
{.time=3975, .id=0x350, .len=1, .data={0x40}},
{.time=3994, .id=0x350, .len=1, .data={0x40}},
{.time=4015, .id=0x350, .len=1, .data={0x40}},
{.time=4035, .id=0x350, .len=1, .data={0x40}},
{.time=4055, .id=0x350, .len=1, .data={0x40}},
{.time=4076, .id=0x350, .len=1, .data={0x40}},
{.time=4096, .id=0x350, .len=1, .data={0x40}},
{.time=4115, .id=0x350, .len=1, .data={0x40}},
{.time=4135, .id=0x350, .len=1, .data={0x40}},
{.time=4155, .id=0x350, .len=1, .data={0x40}},
{.time=4175, .id=0x350, .len=1, .data={0x40}},
{.time=4195, .id=0x350, .len=1, .data={0x40}},
{.time=4214, .id=0x350, .len=1, .data={0x40}},
{.time=4236, .id=0x350, .len=1, .data={0x40}},
{.time=4255, .id=0x350, .len=1, .data={0x40}},
{.time=4276, .id=0x350, .len=1, .data={0x40}},
{.time=4295, .id=0x350, .len=1, .data={0x40}},
{.time=4315, .id=0x350, .len=1, .data={0x40}},
{.time=4335, .id=0x350, .len=1, .data={0x40}},
{.time=4356, .id=0x350, .len=1, .data={0x40}},
{.time=4375, .id=0x350, .len=1, .data={0x40}},
{.time=4396, .id=0x350, .len=1, .data={0x40}},
{.time=4414, .id=0x350, .len=1, .data={0x40}},
{.time=4436, .id=0x350, .len=1, .data={0x40}},
{.time=4455, .id=0x350, .len=1, .data={0x40}},
{.time=4475, .id=0x350, .len=1, .data={0x40}},
{.time=4495, .id=0x350, .len=1, .data={0x40}},
{.time=4515, .id=0x350, .len=1, .data={0x40}},
{.time=4535, .id=0x350, .len=1, .data={0x40}},
{.time=4555, .id=0x350, .len=1, .data={0x40}},
{.time=4558, .id=0x10, .len=1, .data={0x10}},
{.time=4566, .id=0x7C8, .len=8, .data={0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x40}},
{.time=4575, .id=0x350, .len=1, .data={0x40}},
{.time=4577, .id=0x7C8, .len=8, .data={0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x40}},
{.time=4581, .id=0x10, .len=1, .data={0x10}},
{.time=4586, .id=0x7C8, .len=8, .data={0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x40}},
{.time=4595, .id=0x350, .len=1, .data={0x40}},
{.time=4599, .id=0x10, .len=1, .data={0x10}},
{.time=4616, .id=0x350, .len=1, .data={0x40}},
{.time=4618, .id=0x10, .len=1, .data={0x10}},
{.time=4634, .id=0x350, .len=1, .data={0x40}},
{.time=4638, .id=0x10, .len=1, .data={0x30}},
{.time=4643, .id=0x7CA, .len=8, .data={0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x40}},
{.time=4656, .id=0x350, .len=1, .data={0x40}},
{.time=4659, .id=0x10, .len=1, .data={0x30}},
{.time=4662, .id=0x7CA, .len=8, .data={0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x40}},
{.time=4667, .id=0x7CA, .len=8, .data={0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x40}},
{.time=4675, .id=0x350, .len=1, .data={0x40}},
{.time=4678, .id=0x10, .len=1, .data={0x30}},
{.time=4699, .id=0x10, .len=1, .data={0x30}},
{.time=4702, .id=0x350, .len=1, .data={0x40}},
{.time=4715, .id=0x350, .len=1, .data={0x40}},
{.time=4718, .id=0x10, .len=1, .data={0xB0}},
{.time=4734, .id=0x350, .len=1, .data={0x40}},
{.time=4738, .id=0x10, .len=1, .data={0xB0}},
{.time=4755, .id=0x350, .len=1, .data={0x40}},
{.time=4758, .id=0x10, .len=1, .data={0xB0}},
{.time=4774, .id=0x350, .len=1, .data={0x40}},
{.time=4777, .id=0x10, .len=1, .data={0xB0}},
{.time=4795, .id=0x350, .len=1, .data={0x40}},
{.time=4799, .id=0x10, .len=1, .data={0xF0}},
{.time=4815, .id=0x350, .len=1, .data={0x40}},
{.time=4818, .id=0x10, .len=1, .data={0xF0}},
{.time=4836, .id=0x350, .len=1, .data={0x40}},
{.time=4838, .id=0x10, .len=1, .data={0xF0}},
{.time=4854, .id=0x350, .len=1, .data={0x40}},
{.time=4857, .id=0x10, .len=1, .data={0xF0}},
{.time=4875, .id=0x350, .len=1, .data={0x40}},
{.time=4878, .id=0x10, .len=1, .data={0xF0}},
{.time=4894, .id=0x350, .len=1, .data={0x40}},
{.time=4898, .id=0x10, .len=1, .data={0xF0}},
{.time=4915, .id=0x350, .len=1, .data={0x40}},
{.time=4918, .id=0x10, .len=1, .data={0xF0}},
{.time=4935, .id=0x350, .len=1, .data={0x40}},
{.time=4938, .id=0x10, .len=1, .data={0xF0}},
{.time=4955, .id=0x350, .len=1, .data={0x40}},
{.time=4958, .id=0x10, .len=1, .data={0xF0}},
{.time=4974, .id=0x350, .len=1, .data={0x40}},
{.time=4978, .id=0x10, .len=1, .data={0xF0}},
{.time=4996, .id=0x350, .len=1, .data={0x40}},
{.time=4999, .id=0x10, .len=1, .data={0xF0}},
{.time=5015, .id=0x350, .len=1, .data={0x40}},
{.time=5018, .id=0x10, .len=1, .data={0xF0}},
{.time=5035, .id=0x350, .len=1, .data={0x40}},
{.time=5038, .id=0x10, .len=1, .data={0xF0}},
{.time=5055, .id=0x350, .len=1, .data={0x40}},
{.time=5058, .id=0x10, .len=1, .data={0xF0}},
{.time=5074, .id=0x350, .len=1, .data={0x40}},
{.time=5078, .id=0x10, .len=1, .data={0xF0}},
{.time=5095, .id=0x350, .len=1, .data={0x40}},
{.time=5099, .id=0x10, .len=1, .data={0xF0}},
{.time=5114, .id=0x350, .len=1, .data={0x40}},
{.time=5117, .id=0x10, .len=1, .data={0xF0}},
{.time=5134, .id=0x350, .len=1, .data={0x40}},
{.time=5138, .id=0x10, .len=1, .data={0xF0}},
{.time=5155, .id=0x350, .len=1, .data={0x40}},
{.time=5157, .id=0x10, .len=1, .data={0xF0}},
{.time=5174, .id=0x350, .len=1, .data={0x40}},
{.time=5178, .id=0x10, .len=1, .data={0xF0}},
{.time=5196, .id=0x350, .len=1, .data={0x40}},
{.time=5198, .id=0x10, .len=1, .data={0xF0}},
{.time=5215, .id=0x350, .len=1, .data={0x40}},
{.time=5219, .id=0x10, .len=1, .data={0xF0}},
{.time=5235, .id=0x350, .len=1, .data={0x40}},
{.time=5237, .id=0x10, .len=1, .data={0xF0}},
{.time=5254, .id=0x350, .len=1, .data={0x40}},
{.time=5258, .id=0x10, .len=1, .data={0xF0}},
{.time=5275, .id=0x350, .len=1, .data={0x40}},
{.time=5277, .id=0x10, .len=1, .data={0xF0}},
{.time=5295, .id=0x350, .len=1, .data={0x40}},
{.time=5299, .id=0x10, .len=1, .data={0xF0}},
{.time=5315, .id=0x350, .len=1, .data={0x40}},
{.time=5318, .id=0x10, .len=1, .data={0xF0}},
{.time=5336, .id=0x350, .len=1, .data={0x40}},
{.time=5338, .id=0x10, .len=1, .data={0xF0}},
{.time=5354, .id=0x350, .len=1, .data={0x40}},
{.time=5357, .id=0x10, .len=1, .data={0xF0}},
{.time=5374, .id=0x350, .len=1, .data={0x40}},
{.time=5378, .id=0x10, .len=1, .data={0xF0}},
{.time=5395, .id=0x350, .len=1, .data={0x40}},
{.time=5398, .id=0x10, .len=1, .data={0xF0}},
{.time=5415, .id=0x350, .len=1, .data={0x40}},
